ID,Sentence,VALIDITY
1,Neuilly-sur-Seine - Millau,VALID
2,depart Blois dest Perpignan,VALID
3,ville de départ Saint-Paul arrivée Strasbourg,VALID
4,arrivée Belfort origine Clermont-Ferrand,VALID
5,je souhaite me rendre à La Rochelle en partant de Meaux,VALID
6,je veux quitter Nîmes pour aller jusqu'à La Seyne-sur-Mer,VALID
7,je veux quitter Madrid pour aller vers La Rochelle,VALID
8,train Sèvres Tarbes,VALID
9,je voudrais rejoindre depuis Nancy à Mantes-la-Jolie,VALID
10,Évry - Rodez,VALID
11,direction Neuilly-sur-Seine en partant de Nantes,VALID
12,de Madrid à Figueres,VALID
13,depuis Nantes direction Champigny-sur-Marne,VALID
14,je voudrais quitter quittant saint-maur-des-fossés à créteil,VALID
15,De versailles à aulnay-sous-bois,VALID
16,je veux rejoindre Strasbourg en partant de Figueres,VALID
17,peux-tu me trouver un train depuis Bondy en direction de Toulouse,VALID
18,depart Antony dest Mantes-la-Jolie,VALID
19,j'aimerais aller depuis Cannes jusqu'à Auch,VALID
20,je veux quitter San Sebastián pour aller vers Poitiers,VALID
21,JE VEUX PARTIR À PARTIR DE BÉZIERS À PANTIN,VALID
22,aller en partant de Girona à Mulhouse,VALID
23,je souhaite me rendre en direction de Cahors quittant Clermont-Ferrand,VALID
24,de Rennes à Hendaye,VALID
25,DEPUIS CANNES JUSQU'À BOURGES,VALID
26,trajet depuis Montpellier vers Arles,VALID
27,je veux rejoindre Calais depuis Besançon,VALID
28,je voudrais rejoindre à partir de Narbonne vers Vincennes,VALID
29,itinéraire Vitry-sur-Seine Tarbes,VALID
30,direction Cannes à partir de Perpignan,VALID
31,je veux quitter San Sebastián pour aller en direction de Le Mans,VALID
32,aller simple en partant de Rueil-Malmaison pour Angers,VALID
33,je dois aller pour Moulins en partant de Tourcoing,VALID
34,je pars à partir de Mont-de-Marsan arrivée Montauban,VALID
35,trajet de Laval vers Metz,VALID
36,Je cherche un train en partant de orléans vers mantes-la-jolie,VALID
37,je vais en partant de Évreux vers Avignon,VALID
38,train Colmar Noisy-le-Grand,VALID
39,je pars à partir de Hyères pour arriver Vannes,VALID
40,de Villeurbanne à Angers,VALID
41,Je veux quitter strasbourg pour aller en direction de nancy,VALID
42,je veux voyager de Pessac vers Biarritz,VALID
43,depuis Évry direction Montpellier,VALID
44,train Nantes Nanterre,VALID
45,je pars quittant Vitry-sur-Seine pour rejoindre Lons-le-Saunier,VALID
46,Alès - Valence,VALID
47,de La Seyne-sur-Mer à Brive-la-Gaillarde,VALID
48,voyage libourne foix,VALID
49,je veux rejoindre quittant angers pour évry,VALID
50,je souhaite me rendre en direction de Pessac de Digne-les-Bains,VALID
51,je veux me déplacer à partir de Carcassonne vers Amiens,VALID
52,depuis bourges direction privas,VALID
53,LA ROCHELLE → FOIX,VALID
54,je cherche un train quittant Épinay-sur-Seine vers Argenteuil,VALID
55,train Libourne Saint-Étienne,VALID
56,je pars en partant de Bobigny arrivée Paris,VALID
57,je veux rejoindre Belfort de Aix-en-Provence,VALID
58,depart Foix dest Caen,VALID
59,j'aimerais aller depuis vitry-sur-seine pour mantes-la-jolie,VALID
60,Clermont-Ferrand → Figeac,VALID
61,je voudrais rejoindre à partir de Sèvres en direction de Bilbao,VALID
62,je voudrais rejoindre de Béziers en direction de Nîmes,VALID
63,j'aimerais aller à partir de Alès jusqu'à Saint-Maur-des-Fossés,VALID
64,déplacement Agen Antony,VALID
65,billet Toulouse Libourne,VALID
66,depuis sèvres jusqu'à bergerac,VALID
67,point de départ Brest arrivée Figueres,VALID
68,itinéraire Arcachon La Rochelle,VALID
69,itinéraire Bourges Nantes,VALID
70,je souhaite me rendre en direction de Belfort quittant Bordeaux,VALID
71,Montpellier - Marseille,VALID
72,billet Carcassonne Antibes,VALID
73,Mulhouse → Fontenay-sous-Bois,VALID
74,donne moi un déplacement de Reims jusqu'a Rueil-Malmaison,VALID
75,aller simple quittant Sèvres en direction de Millau,VALID
76,Je voudrais me rendre en partant de castres jusqu'à rouen,VALID
77,Je cherche un train de argenteuil vers cannes,VALID
78,je cherche un train de pantin vers montauban,VALID
79,je veux rejoindre Millau de Asnières-sur-Seine,VALID
80,direction Perpignan de La Rochelle,VALID
81,itinéraire Nevers Bilbao,VALID
82,billet Mont-de-Marsan Montauban,VALID
83,de Meaux à Clamart,VALID
84,direction Foix de Neuilly-sur-Seine,VALID
85,Moulins → Clichy,VALID
86,trajet quittant Issy-les-Moulineaux vers Auxerre,VALID
87,je voudrais rejoindre quittant Sèvres jusqu'à Privas,VALID
88,je souhaite me rendre jusqu'à San Sebastián en partant de Pantin,VALID
89,je pars depuis Amiens arrivée Rodez,VALID
90,de Évreux à Aulnay-sous-Bois,VALID
91,peux-tu me trouver un train à partir de Rouen en direction de Agen,VALID
92,depart Villeurbanne dest Clamart,VALID
93,j'aimerais aller quittant Drancy en direction de Saint-Jean-de-Luz,VALID
94,je voudrais partir quittant valence à orléans,VALID
95,je veux rejoindre Girona de Montreuil,VALID
96,je veux rejoindre Libourne en partant de Sartrouville,VALID
97,Saint-Étienne → Valencia,VALID
98,je vais quittant Narbonne vers Madrid,VALID
99,point de départ Mont-de-Marsan point d'arrivée Besançon,VALID
100,je dois aller pour Laval de Évreux,VALID
101,billet Vitry-sur-Seine Albi,VALID
102,je dois aller en direction de Valence quittant Vitry-sur-Seine,VALID
103,je voudrais me rendre de Gap vers Brive-la-Gaillarde,VALID
104,direction Annecy de Rennes,VALID
105,direction Brest à partir de Vannes,VALID
106,je pars en partant de Montauban pour voyager Narbonne,VALID
107,de Annecy à Châlons-en-Champagne,VALID
108,aller simple en partant de Niort jusqu'à Brest,VALID
109,itinéraire Boulogne-Billancourt Asnières-sur-Seine,VALID
110,itinéraire Orléans Lorient,VALID
111,direction Foix en partant de Dijon,VALID
112,direction Bilbao en partant de Troyes,VALID
113,je cherche un train de Girona vers Castres,VALID
114,peux-tu me trouver un train quittant Périgueux à Brive-la-Gaillarde,VALID
115,de Bayonne à La Rochelle,VALID
116,Courbevoie - Bobigny,VALID
117,ville de départ Biarritz arrivée Privas,VALID
118,voyage Villeurbanne Mende,VALID
119,aller à partir de Grasse jusqu'à Arles,VALID
120,je veux quitter en partant de Foix en direction de Bayonne,VALID
121,je cherche un train quittant Champigny-sur-Marne vers Albi,VALID
122,je dois aller à Montreuil en partant de Bergerac,VALID
123,je vais en partant de San Sebastián à Sarlat-la-Canéda,VALID
124,itinéraire roubaix valencia,VALID
125,depuis Bondy direction Créteil,VALID
126,Trajet quittant rueil-malmaison vers brive-la-gaillarde,VALID
127,départ Lille destination Gourdon,VALID
128,de Nantes à San Sebastián,VALID
129,je veux rejoindre Vincennes de Poitiers,VALID
130,train Colombes Metz,VALID
131,je cherche un train à partir de Mantes-la-Jolie vers Rennes,VALID
132,Itinéraire gourdon millau,VALID
133,je veux rejoindre Bergerac de Madrid,VALID
134,je pars de Nancy arrivée Meaux,VALID
135,peux-tu me trouver un train quittant Drancy à Caen,VALID
136,itinéraire Antony Valencia,VALID
137,je veux rejoindre Vitry-sur-Seine quittant Bondy,VALID
138,j'aimerais aller depuis Asnières-sur-Seine en direction de Bergerac,VALID
139,aller à partir de Strasbourg à Saint-Maur-des-Fossés,VALID
140,depart Vannes dest Avignon,VALID
141,itinéraire Meaux Dijon,VALID
142,je dois aller vers Angers depuis Mende,VALID
143,depuis Châteauroux direction Carcassonne,VALID
144,JE VEUX REJOINDRE LAVAL DEPUIS GAP,VALID
145,je cherche un train à partir de Belfort vers Asnières-sur-Seine,VALID
146,je vais en partant de Bergerac pour Rueil-Malmaison,VALID
147,déplacement Lyon Pantin,VALID
148,je cherche un train de Nanterre vers Lons-le-Saunier,VALID
149,JE DOIS ALLER EN DIRECTION DE BILBAO DEPUIS SAINT-ÉTIENNE,VALID
150,je pars quittant Vincennes arrivée Gap,VALID
151,depuis Dijon jusqu'à Montreuil,VALID
152,je veux quitter depuis Évreux jusqu'à Brive-la-Gaillarde,VALID
153,aller simple quittant Rennes pour La Seyne-sur-Mer,VALID
154,Meaux - Besançon,VALID
155,billet Roubaix Orléans,VALID
156,déplacement Privas Angers,VALID
157,arrivée argenteuil départ versailles,VALID
158,de Aulnay-sous-Bois à La Seyne-sur-Mer,VALID
159,billet Biarritz Béziers,VALID
160,trajet Vannes Saint-Maur-des-Fossés,VALID
161,je pars quittant Limoges pour me rendre Gap,VALID
162,je dois aller jusqu'à Vincennes quittant Brest,VALID
163,itineraire Montpellier Barcelona,VALID
164,depuis Créteil jusqu'à Béziers,VALID
165,je veux rejoindre depuis Clermont-Ferrand vers Brest,VALID
166,Clermont-Ferrand → Clichy,VALID
167,je veux quitter Saint-Maur-des-Fossés pour aller jusqu'à Courbevoie,VALID
168,de Narbonne à Alès,VALID
169,trajet saint-paul arcachon,VALID
170,aller de Colombes à Toulouse,VALID
171,Grenoble → rueil-malmaison,VALID
172,je dois aller pour La Rochelle en partant de Bergerac,VALID
173,DEPART CHAMPIGNY-SUR-MARNE DEST ÉPINAY-SUR-SEINE,VALID
174,de toulouse à la rochelle,VALID
175,Je pars de clichy arrivée antony,VALID
176,donne moi un chemin quittant Auxerre en direction de Perpignan,VALID
177,de Pantin à Mende,VALID
178,je souhaite me rendre vers Mont-de-Marsan à partir de Saint-Étienne,VALID
179,billet Saint-Étienne Bayonne,VALID
180,je veux quitter Caen pour aller en direction de Sèvres,VALID
181,je souhaite me rendre en direction de Bilbao à partir de Angers,VALID
182,billet Béziers Tours,VALID
183,JE CHERCHE UN TRAIN QUITTANT COLMAR VERS SARTROUVILLE,VALID
184,Albi - Tours,VALID
185,je voudrais voyager depuis Dijon pour Privas,VALID
186,billet Saint-Paul Lyon,VALID
187,depuis Brest jusqu'à Privas,VALID
188,peux-tu me trouver un train quittant Sète pour Antony,VALID
189,je pars de Lons-le-Saunier pour rejoindre San Sebastián,VALID
190,itinéraire Lons-le-Saunier Colombes,VALID
191,je veux quitter Béziers pour aller jusqu'à Clermont-Ferrand,VALID
192,train Perpignan Orléans,VALID
193,Orléans - Mulhouse,VALID
194,je cherche un train de Blois vers Poitiers,VALID
195,Narbonne → Valencia,VALID
196,De drancy à cannes,VALID
197,je souhaite me rendre pour Brest à partir de Hyères,VALID
198,ITINÉRAIRE LE MANS SAN SEBASTIÁN,VALID
199,je dois aller vers Colombes en partant de Vannes,VALID
200,j'aimerais aller à partir de Aix-en-Provence en direction de Lyon,VALID
201,je pars à partir de Gourdon arrivée Madrid,VALID
202,je veux rejoindre Besançon en partant de Lorient,VALID
203,je veux quitter Nantes pour aller jusqu'à Madrid,VALID
204,Trajet quittant troyes vers tourcoing,VALID
205,je veux quitter Dijon pour aller en direction de Castres,VALID
206,itinéraire Saint-Paul Carcassonne,VALID
207,peux-tu me trouver un train depuis Drancy en direction de Pantin,VALID
208,je voudrais voyager quittant Besançon jusqu'à Mérignac,VALID
209,je veux rejoindre Vannes depuis Lyon,VALID
210,je veux quitter Bondy pour aller pour Reims,VALID
211,train Le Mans Montauban,VALID
212,Depuis hyères direction bordeaux,VALID
213,de Clermont-Ferrand à Bondy,VALID
214,aller en partant de Avignon à Amiens,VALID
215,JE VEUX REJOINDRE BREST DE MANTES-LA-JOLIE,VALID
216,direction Foix en partant de Versailles,VALID
217,trajet depuis Drancy vers Bilbao,VALID
218,depart Pessac dest Narbonne,VALID
219,train Épinay-sur-Seine Saint-Étienne,VALID
220,je souhaite me rendre vers Biarritz quittant Fontenay-sous-Bois,VALID
221,itinéraire Gap Albi,VALID
222,depuis Perpignan jusqu'à La Seyne-sur-Mer,VALID
223,Briançon → Vincennes,VALID
224,aller quittant Roubaix pour Clichy,VALID
225,de Saint-Denis à Antibes,VALID
226,je veux quitter Chartres pour aller à Cergy,VALID
227,je souhaite me rendre à Nîmes en partant de Bondy,VALID
228,Nice - Saint-Jean-de-Luz,VALID
229,je pars en partant de Marseille pour me déplacer Courbevoie,VALID
230,je pars de Niort pour aller Nevers,VALID
231,itinéraire Villeneuve-d'Ascq Fontenay-sous-Bois,VALID
232,aller de Drancy pour Briançon,VALID
233,je veux rejoindre Clamart depuis Calais,VALID
234,je veux voyager depuis Issy-les-Moulineaux en direction de Limoges,VALID
235,Je pars quittant brive-la-gaillarde arrivée tours,VALID
236,aller simple quittant Paris en direction de Mérignac,VALID
237,origine Lyon arrivée Châteauroux,VALID
238,je veux quitter Nice pour aller jusqu'à Figeac,VALID
239,j'aimerais aller depuis Bordeaux vers Issy-les-Moulineaux,VALID
240,aller simple en partant de Évreux pour Issy-les-Moulineaux,VALID
241,chemin Auxerre Pau,VALID
242,je veux rejoindre Saint-Paul depuis Vincennes,VALID
243,je pars quittant Albi arrivée Béziers,VALID
244,peux-tu me trouver un train à partir de Rouen pour Reims,VALID
245,je souhaite me rendre jusqu'à Tourcoing de Béziers,VALID
246,depart Lons-le-Saunier dest Bergerac,VALID
247,Asnières-sur-Seine → Drancy,VALID
248,de Privas à Narbonne,VALID
249,je pars à partir de Villeurbanne arrivée Albi,VALID
250,depuis Poitiers direction Bayonne,VALID
251,je veux rejoindre Le Havre depuis Foix,VALID
252,train Hendaye Saint-Jean-de-Luz,VALID
253,Nevers - Rueil-Malmaison,VALID
254,Gap → Valence,VALID
255,TRAIN MONTREUIL HENDAYE,VALID
256,de Rueil-Malmaison à Créteil,VALID
257,je voudrais voyager depuis Libourne pour Périgueux,VALID
258,depart Clermont-Ferrand dest Rouen,VALID
259,aller en partant de Neuilly-sur-Seine vers Nantes,VALID
260,billet Cannes Arles,VALID
261,train Barcelona Vitry-sur-Seine,VALID
262,point de départ Clamart point d'arrivée Vitry-sur-Seine,VALID
263,de lyon à bourges,VALID
264,DONNE MOI UN ITINÉRAIRE DEPUIS ANGERS JUSQU'À ARLES,VALID
265,Arrivée toulon point de départ angers,VALID
266,donne moi un chemin depuis Biarritz vers Sèvres,VALID
267,je vais en partant de Le Havre jusqu'à Niort,VALID
268,je veux quitter de Albi à Lyon,VALID
269,je pars à partir de Versailles arrivée Briançon,VALID
270,billet Pau Lons-le-Saunier,VALID
271,donne moi un voyage depuis Digne-les-Bains pour Cannes,VALID
272,je vais à partir de Nice en direction de Chartres,VALID
273,direction Châteauroux à partir de Mantes-la-Jolie,VALID
274,Marseille - Nice,VALID
275,voyage Madrid Cergy,VALID
276,depuis Limoges direction Digne-les-Bains,VALID
277,je vais quittant Nanterre en direction de Cannes,VALID
278,depart Mende dest Toulouse,VALID
279,train Lorient Clamart,VALID
280,peux-tu me trouver un train en partant de Bilbao à Saint-Étienne,VALID
281,voyage Marseille Toulouse,VALID
282,Nanterre - Bergerac,VALID
283,aller simple de Rodez jusqu'à Limoges,VALID
284,j'aimerais aller de Annecy à Bayonne,VALID
285,voyage Digne-les-Bains Gap,VALID
286,origine Grenoble arrivée Roubaix,VALID
287,je pars depuis béziers arrivée sarlat-la-canéda,VALID
288,Boulogne-Billancourt - San Sebastián,VALID
289,Je dois aller pour châlons-en-champagne depuis villeurbanne,VALID
290,train Carcassonne Sète,VALID
291,je cherche un train de Belfort vers Sèvres,VALID
292,voyage orléans paris,VALID
293,trajet aix-en-provence montpellier,VALID
294,depuis Nanterre jusqu'à Champigny-sur-Marne,VALID
295,Je souhaite me rendre pour nantes à partir de auxerre,VALID
296,je pars quittant Moulins pour me rendre Calais,VALID
297,donne moi un itinéraire à partir de Bordeaux en direction de Boulogne-Billancourt,VALID
298,DEPUIS MARSEILLE JUSQU'À REIMS,VALID
299,itinéraire calais perpignan,VALID
300,depuis Orléans jusqu'à Clamart,VALID
301,itinéraire Rouen Albi,VALID
302,voyage Mont-de-Marsan Bergerac,VALID
303,je veux rejoindre Cahors a partir de Caen,VALID
304,aller simple depuis Versailles à Périgueux,VALID
