ID,Sentence,VALIDITY
1,Grenoble → clamart,VALID
2,je vais de Marseille a Pantin,VALID
3,donne moi un trajet de Brive-la-Gaillarde à Béziers,VALID
4,"['poitiers', 'poitiers', 'poitier', 'poit'] -> drancy",VALID
5,Jveux un Train pour antony depuis meaux,VALID
6,TRAIN ARLES AMIENS STP,VALID
7,itinéraire Roubaix Châteauroux,VALID
8,j'aimerais aller de villeneuve-d'ascq jusqu'a Le Havre,VALID
9,antibes -> angers,VALID
10,🚄 direction Hendaye depuis Pantin,VALID
11,je vais de Pessac a Bobigny,VALID
12,j'aimerais aller de Cahors jusqu'à Hendaye,VALID
13,Gourdon → Nice,VALID
14,DEPUIS GAP DIRECTION LORIENT,VALID
15,ON PART D'OÙ POUR ALLER À TOURS,VALID
16,train Antony Saint-Étienne avec mes bagages,VALID
17,train belfort grasse,VALID
18,billet clamart niort Pour Un Rdv,VALID
19,je veux rejoindre antibes depuis figeac,VALID
20,aller de Privas à Figeac en passant par Albi,VALID
21,je veux rejoindre Saint-Jean-de-Luz depuis Orléans,VALID
22,"chui a ['dijon', 'dijon', 'dijonn', 'dij'] je dois aller sur montpellier",VALID
23,je voudrais aller de Vannes à blois,VALID
24,je dois aller à narbonne depuis cahors pour voir ma mère,VALID
25,Quels trains Sont dispo de Moulins vers Sartrouville,VALID
26,aller a Antony depuis Nice,VALID
27,Hyeres Beziers,VALID
28,de Toulon a Chartres,VALID
29,j'ai besoin d'aller de Dax a Blois,VALID
30,depart Troyes dest lausanne,VALID
31,"de ['besancon', 'besancon', 'besanc', 'besan'] vers saint-denis",VALID
32,Aller a lorient Depuis Limoges,VALID
33,peux-tu me trouver un train de Auch à Bobigny,VALID
34,aller a Saint-Jean-de-Luz depuis Drancy,VALID
35,Comment aller a tarbes depuis La seyne-sur-mer,VALID
36,"de Vannes à ['lyon', 'Lyon', 'lyonn', 'lion']",VALID
37,peux-tu me calculer un trajet merignac perpignan,VALID
38,"['grenoble', 'Grenoble', 'grenoblle', 'grenob'] - Besançon",VALID
39,je vais de Brive-la-gaillarde À courbevoie,VALID
40,"🚄 aller de ['luxembourg', 'Luxembourg', 'lux', 'luxemb'] à Clermont-Ferrand",VALID
41,depuis saint-jean-de-luz direction reims,VALID
42,"Aller de saint-étienne à ['marseile', 'marseille', 'marseil', 'marseylle'] En passant Par Gap",VALID
43,je vais de Bourges à Mérignac,VALID
