ID,Sentence,VALIDITY
1,Je veux aller de Paris à Lyon demain matin.,VALID
2,comment me rendre a bordeaux depuis tours ?,VALID
3,Trajet paris → lille svp.,VALID
4,J’aimerais aller de Marseille jusqu'à Nice.,VALID
5,Je pars de nantes pour rejoindre paris.,VALID
6,de toulouse vers montpellier quels trains sont dispo ?,VALID
7,Je souhaite me rendre à Rennes en partance de Caen.,VALID
8,Départ lyon arrivée marseille merci.,VALID
9,Peux-tu me trouver un train pour Dijon depuis Paris ?,VALID
10,Je dois aller a metz en partant de strasbourg.,VALID
11,depart marseille dest lyon,VALID
12,Aller simple de Brest à Quimper.,VALID
13,J’aimerais un itinéraire Bordeaux Poitiers.,VALID
14,je pars de lille pour aller à roubaix,VALID
15,Montre moi un train entre nîmes et avignon,VALID
16,Je voudrais aller de troyes à paris en passant par nogent.,VALID
17,depuis paris direction orléans,VALID
18,Je veux aller a limoge depuis toulouz,VALID
19,De pau a toulouse je veux un train rapide.,VALID
20,train clermont ferrand vers paris ?,VALID
21,"Arrivée Strasbourg, départ Nancy.",VALID
22,Je pars de dijon pour aller a Besançon.,VALID
23,Itinéraire : marseile -> toulon,VALID
24,Je dois aller à Reims depuis Paris pour un rdv.,VALID
25,Trajet départ tours destination saumur.,VALID
26,J’aimerai rejoindre Arras depuis Amiens.,VALID
27,Peux-tu me calculer un trajet caen paris ?,VALID
28,aller de grenoble direction chambery.,VALID
29,Je veux quitter lens pour aller à lille.,VALID
30,donne moi un trajet depuis paris jusqu'a limoges,VALID
31,je vais de versailles à paris montparnasse,VALID
32,dep marne-la-vallee → dest paris est,VALID
33,Je pars de dijon arrivée nancy.,VALID
34,Je cherche un train pour montelimar depuis valence.,VALID
35,aller a perpignan depuis montpellier st roch,VALID
36,J'aimerais partir de ST ETIENNE pour aller à lyon,VALID
37,Train strasbourg paris ce soir ?,VALID
38,DE MARSEILLE A PARIS,VALID
39,je veux aller de saint-malo a rennes,VALID
40,aller de bordeaux à paris avec mes deux chiens,VALID
41,Je voudrais rejoindre Tarbes depuis Pau.,VALID
42,paris → marne la vallee chessy,VALID
43,"Direction Lille, départ Amiens.",VALID
44,Je pars de Tours pour aller au Mans.,VALID
45,Un billet Montpellier → Nîmes svp,VALID
46,je souhaite aller a bayonne depuis biaritz,VALID
47,depuis reims vers strasbourg trajet ?,VALID
48,Je voudrais aller de Toulon à Marseille.,VALID
49,"Départ Clermont-Ferrand, arrivée Vichy.",VALID
50,Trajet saintes → rochefort merci,VALID
51,je cherche un train de limoges vers poitiers,VALID
52,Je pars de besançon pour rejoindre dijon,VALID
53,aller albi -> toulouse,VALID
54,Je veux aller à orleans depuis paris bercy,VALID
55,"Depuis Nancy, je voudrais aller a Metz.",VALID
56,aller a paris en partant de marseille st charles,VALID
57,De lille à bordeaux quel train existe ?,VALID
58,itinéraire de nice pour marseille,VALID
59,je veux rejoindre angers depuis nantes ce soir,VALID
60,aller de lyon part dieu a geneve,VALID
61,Direction Poitiers depuis Angoulême.,VALID
62,Je pars de cognac pour aller à saintes.,VALID
63,depuis quimper je veux aller à brest,VALID
64,train paris versailles maintenant,VALID
65,Aller Toulouse - Tarbes merci,VALID
66,J’aimerais aller de Dunkerque à Calais.,VALID
67,Je vais de Toulon jusqu’à Cannes.,VALID
68,Je cherche un itinéraire depuis Grenoble vers Gap.,VALID
69,je voudré alé de Montpelié a Nime,VALID
70,"De Metz à Luxembourg, quel train ?",VALID
71,J'adore paris c'est une belle ville.,INVALID
72,Bordeaux c'est loin je crois.,INVALID
73,Albert et Paris viennent ce soir dîner.,INVALID
74,Je suis à Lyon.,INVALID
75,Paris Marseille c’est un bon match de foot.,INVALID
76,Peux-tu m'expliquer l’histoire de Lille ?,INVALID
77,Je veux aller quelque part mais je sais pas où.,INVALID
78,Train train train lalala.,INVALID
79,J’ai perdu mon billet hier.,INVALID
80,Est-ce que la SNCF est ouverte dimanche ?,INVALID
81,je dois appeler ma mère à bordeaux,INVALID
82,Je vais acheter un vélo pour paris,INVALID
83,Donne-moi une liste de gares françaises.,INVALID
84,vers où aller ?,INVALID
85,J’ai envie de voyager un jour peut-être.,INVALID
86,le train c'est trop cher,INVALID
87,BONJOUR,INVALID
88,je veux aller la bas,INVALID
89,paris florence ce sont mes amis,INVALID
90,quelle heure est-il à lyon ?,INVALID
91,Je veux partir mais aucune destination précise.,INVALID
92,As-tu des infos sur les retards SNCF ?,INVALID
93,Je lis un article sur Marseille.,INVALID
94,Je ne veux pas prendre le train aujourd’hui.,INVALID
95,J’aimerais cuisiner des pâtes à la carbonara.,INVALID
96,depart ??? dest ???,INVALID
97,je veux aller de chez moi à l'école,INVALID
98,Caen… ou peut-être Rouen… je sais pas,INVALID
99,Quel temps fait-il à Dijon ?,INVALID
100,Je n’aime pas les TGV.,INVALID
101,"Montpellier est joli, voilà.",INVALID
102,Peux-tu trouver un itinéraire ?,INVALID
